"label (S)","n (N)","content (M)","number (N)"
"i","15","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""-1"" },          { ""N"" : ""5"" },          { ""N"" : ""11"" },          { ""N"" : ""10"" },          { ""N"" : ""2"" },          { ""N"" : ""-5"" },          { ""N"" : ""-9"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""3"" },          { ""N"" : ""3"" },          { ""N"" : ""1"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""8"" },          { ""N"" : ""8"" },          { ""N"" : ""-3"" },          { ""N"" : ""-19"" },          { ""N"" : ""-16"" },          { ""N"" : ""2"" },          { ""N"" : ""5"" },          { ""N"" : ""0"" },          { ""N"" : ""4"" },          { ""N"" : ""0"" },          { ""N"" : ""-5"" },          { ""N"" : ""-14"" },          { ""N"" : ""-11"" },          { ""N"" : ""7"" },          { ""N"" : ""24"" },          { ""N"" : ""11"" },          { ""N"" : ""0"" },          { ""N"" : ""-14"" },          { ""N"" : ""-6"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"m","11","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""15"" },          { ""N"" : ""7"" },          { ""N"" : ""-10"" },          { ""N"" : ""-9"" },          { ""N"" : ""-11"" },          { ""N"" : ""0"" },          { ""N"" : ""12"" },          { ""N"" : ""26"" },          { ""N"" : ""17"" },          { ""N"" : ""-1"" },          { ""N"" : ""-16"" },          { ""N"" : ""-22"" },          { ""N"" : ""-9"" },          { ""N"" : ""3"" },          { ""N"" : ""12"" },          { ""N"" : ""22"" },          { ""N"" : ""10"" },          { ""N"" : ""0"" },          { ""N"" : ""-10"" },          { ""N"" : ""-9"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""-5"" },          { ""N"" : ""12"" },          { ""N"" : ""4"" },          { ""N"" : ""4"" },          { ""N"" : ""5"" },          { ""N"" : ""-10"" },          { ""N"" : ""-1"" },          { ""N"" : ""-4"" },          { ""N"" : ""-2"" },          { ""N"" : ""4"" },          { ""N"" : ""3"" },          { ""N"" : ""9"" },          { ""N"" : ""5"" },          { ""N"" : ""0"" },          { ""N"" : ""-13"" },          { ""N"" : ""-7"" },          { ""N"" : ""1"" },          { ""N"" : ""-3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"i","16","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""9"" },          { ""N"" : ""13"" },          { ""N"" : ""3"" },          { ""N"" : ""-5"" },          { ""N"" : ""-10"" },          { ""N"" : ""-7"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""3"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""17"" },          { ""N"" : ""1"" },          { ""N"" : ""-9"" },          { ""N"" : ""-12"" },          { ""N"" : ""-8"" },          { ""N"" : ""11"" },          { ""N"" : ""5"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""-13"" },          { ""N"" : ""-6"" },          { ""N"" : ""6"" },          { ""N"" : ""18"" },          { ""N"" : ""6"" },          { ""N"" : ""-4"" },          { ""N"" : ""-11"" },          { ""N"" : ""-5"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"l","1","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""17"" },          { ""N"" : ""11"" },          { ""N"" : ""-9"" },          { ""N"" : ""-15"" },          { ""N"" : ""-4"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""2"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""15"" },          { ""N"" : ""4"" },          { ""N"" : ""0"" },          { ""N"" : ""-8"" },          { ""N"" : ""-19"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"m","2","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""27"" },          { ""N"" : ""13"" },          { ""N"" : ""3"" },          { ""N"" : ""-15"" },          { ""N"" : ""-17"" },          { ""N"" : ""-13"" },          { ""N"" : ""-1"" },          { ""N"" : ""10"" },          { ""N"" : ""27"" },          { ""N"" : ""16"" },          { ""N"" : ""0"" },          { ""N"" : ""-18"" },          { ""N"" : ""-28"" },          { ""N"" : ""-9"" },          { ""N"" : ""7"" },          { ""N"" : ""28"" },          { ""N"" : ""15"" },          { ""N"" : ""8"" },          { ""N"" : ""-6"" },          { ""N"" : ""-9"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-8"" },          { ""N"" : ""6"" },          { ""N"" : ""-3"" },          { ""N"" : ""6"" },          { ""N"" : ""3"" },          { ""N"" : ""7"" },          { ""N"" : ""3"" },          { ""N"" : ""-1"" },          { ""N"" : ""-5"" },          { ""N"" : ""-6"" },          { ""N"" : ""0"" },          { ""N"" : ""9"" },          { ""N"" : ""8"" },          { ""N"" : ""2"" },          { ""N"" : ""11"" },          { ""N"" : ""-20"" },          { ""N"" : ""-2"" },          { ""N"" : ""-6"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"o","4","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""5"" },          { ""N"" : ""13"" },          { ""N"" : ""7"" },          { ""N"" : ""3"" },          { ""N"" : ""-3"" },          { ""N"" : ""-13"" },          { ""N"" : ""-11"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""6"" },          { ""N"" : ""9"" },          { ""N"" : ""12"" },          { ""N"" : ""7"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""8"" },          { ""N"" : ""8"" },          { ""N"" : ""-2"" },          { ""N"" : ""-13"" },          { ""N"" : ""-18"" },          { ""N"" : ""-13"" },          { ""N"" : ""-7"" },          { ""N"" : ""-4"" },          { ""N"" : ""6"" },          { ""N"" : ""17"" },          { ""N"" : ""22"" },          { ""N"" : ""6"" },          { ""N"" : ""-1"" },          { ""N"" : ""-5"" },          { ""N"" : ""-9"" },          { ""N"" : ""-7"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"l","2","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""17"" },          { ""N"" : ""10"" },          { ""N"" : ""-8"" },          { ""N"" : ""-14"" },          { ""N"" : ""-7"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""3"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""3"" },          { ""N"" : ""-2"" },          { ""N"" : ""2"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""8"" },          { ""N"" : ""11"" },          { ""N"" : ""0"" },          { ""N"" : ""-9"" },          { ""N"" : ""-18"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"o","1","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""3"" },          { ""N"" : ""4"" },          { ""N"" : ""10"" },          { ""N"" : ""6"" },          { ""N"" : ""7"" },          { ""N"" : ""0"" },          { ""N"" : ""-6"" },          { ""N"" : ""-14"" },          { ""N"" : ""-8"" },          { ""N"" : ""-3"" },          { ""N"" : ""-2"" },          { ""N"" : ""7"" },          { ""N"" : ""5"" },          { ""N"" : ""6"" },          { ""N"" : ""6"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""10"" },          { ""N"" : ""2"" },          { ""N"" : ""4"" },          { ""N"" : ""-4"" },          { ""N"" : ""-13"" },          { ""N"" : ""-10"" },          { ""N"" : ""-12"" },          { ""N"" : ""-10"" },          { ""N"" : ""-2"" },          { ""N"" : ""8"" },          { ""N"" : ""11"" },          { ""N"" : ""13"" },          { ""N"" : ""2"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""-7"" },          { ""N"" : ""-3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"l","3","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""21"" },          { ""N"" : ""15"" },          { ""N"" : ""0"" },          { ""N"" : ""-12"" },          { ""N"" : ""-10"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""6"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""11"" },          { ""N"" : ""9"" },          { ""N"" : ""15"" },          { ""N"" : ""-15"" },          { ""N"" : ""-15"" },          { ""N"" : ""-7"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"m","4","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""15"" },          { ""N"" : ""12"" },          { ""N"" : ""-1"" },          { ""N"" : ""-13"" },          { ""N"" : ""-9"" },          { ""N"" : ""-13"" },          { ""N"" : ""-4"" },          { ""N"" : ""9"" },          { ""N"" : ""22"" },          { ""N"" : ""16"" },          { ""N"" : ""7"" },          { ""N"" : ""-9"" },          { ""N"" : ""-22"" },          { ""N"" : ""-17"" },          { ""N"" : ""-5"" },          { ""N"" : ""7"" },          { ""N"" : ""30"" },          { ""N"" : ""13"" },          { ""N"" : ""4"" },          { ""N"" : ""-8"" },          { ""N"" : ""-12"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""1"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""3"" },          { ""N"" : ""5"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""-13"" },          { ""N"" : ""-6"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""8"" },          { ""N"" : ""2"" },          { ""N"" : ""5"" },          { ""N"" : ""-11"" },          { ""N"" : ""-5"" },          { ""N"" : ""-7"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"l","4","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""7"" },          { ""N"" : ""19"" },          { ""N"" : ""6"" },          { ""N"" : ""-14"" },          { ""N"" : ""-16"" },          { ""N"" : ""-3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-7"" },          { ""N"" : ""5"" },          { ""N"" : ""-5"" },          { ""N"" : ""2"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""6"" },          { ""N"" : ""9"" },          { ""N"" : ""15"" },          { ""N"" : ""-6"" },          { ""N"" : ""-7"" },          { ""N"" : ""-13"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"m","1","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""11"" },          { ""N"" : ""11"" },          { ""N"" : ""1"" },          { ""N"" : ""-7"" },          { ""N"" : ""-20"" },          { ""N"" : ""-17"" },          { ""N"" : ""-7"" },          { ""N"" : ""2"" },          { ""N"" : ""21"" },          { ""N"" : ""18"" },          { ""N"" : ""9"" },          { ""N"" : ""-9"" },          { ""N"" : ""-17"" },          { ""N"" : ""-20"" },          { ""N"" : ""-6"" },          { ""N"" : ""5"" },          { ""N"" : ""28"" },          { ""N"" : ""17"" },          { ""N"" : ""-1"" },          { ""N"" : ""-11"" },          { ""N"" : ""-9"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""-1"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""-2"" },          { ""N"" : ""2"" },          { ""N"" : ""6"" },          { ""N"" : ""0"" },          { ""N"" : ""7"" },          { ""N"" : ""-11"" },          { ""N"" : ""-4"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""7"" },          { ""N"" : ""5"" },          { ""N"" : ""7"" },          { ""N"" : ""-13"" },          { ""N"" : ""-5"" },          { ""N"" : ""-4"" },          { ""N"" : ""-3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"o","3","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""6"" },          { ""N"" : ""10"" },          { ""N"" : ""9"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-9"" },          { ""N"" : ""-9"" },          { ""N"" : ""-4"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""9"" },          { ""N"" : ""10"" },          { ""N"" : ""7"" },          { ""N"" : ""2"" },          { ""N"" : ""-1"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""3"" },          { ""N"" : ""6"" },          { ""N"" : ""3"" },          { ""N"" : ""-2"" },          { ""N"" : ""-13"" },          { ""N"" : ""-13"" },          { ""N"" : ""-12"" },          { ""N"" : ""-5"" },          { ""N"" : ""-2"" },          { ""N"" : ""7"" },          { ""N"" : ""12"" },          { ""N"" : ""11"" },          { ""N"" : ""8"" },          { ""N"" : ""2"" },          { ""N"" : ""-2"" },          { ""N"" : ""-4"" },          { ""N"" : ""-9"" },          { ""N"" : ""-6"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"l","5","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""20"" },          { ""N"" : ""15"" },          { ""N"" : ""-2"" },          { ""N"" : ""-13"" },          { ""N"" : ""-11"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""1"" },          { ""N"" : ""1"" },          { ""N"" : ""-2"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""3"" },          { ""N"" : ""-2"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""8"" },          { ""N"" : ""9"" },          { ""N"" : ""10"" },          { ""N"" : ""-8"" },          { ""N"" : ""-6"" },          { ""N"" : ""-7"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"m","6","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""16"" },          { ""N"" : ""9"" },          { ""N"" : ""-9"" },          { ""N"" : ""-20"" },          { ""N"" : ""-15"" },          { ""N"" : ""-7"" },          { ""N"" : ""7"" },          { ""N"" : ""23"" },          { ""N"" : ""18"" },          { ""N"" : ""11"" },          { ""N"" : ""-6"" },          { ""N"" : ""-23"" },          { ""N"" : ""-22"" },          { ""N"" : ""-8"" },          { ""N"" : ""2"" },          { ""N"" : ""19"" },          { ""N"" : ""17"" },          { ""N"" : ""11"" },          { ""N"" : ""-5"" },          { ""N"" : ""-13"" },          { ""N"" : ""-8"" },          { ""N"" : ""-3"" },          { ""N"" : ""2"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""4"" },          { ""N"" : ""-3"" },          { ""N"" : ""0"" },          { ""N"" : ""4"" },          { ""N"" : ""4"" },          { ""N"" : ""5"" },          { ""N"" : ""3"" },          { ""N"" : ""-14"" },          { ""N"" : ""1"" },          { ""N"" : ""-6"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""4"" },          { ""N"" : ""3"" },          { ""N"" : ""4"" },          { ""N"" : ""-3"" },          { ""N"" : ""-5"" },          { ""N"" : ""-2"" },          { ""N"" : ""-3"" },          { ""N"" : ""-8"" },          { ""N"" : ""-2"" },          { ""N"" : ""1"" }        ]      }    }  }}","30"
